Question,Answer
Why should I sell on Flipkart?,"Flipkart is a trusted and leading e-commerce platform with over 45 crore+ customers across 19000+ pin codes in India. By selling on Flipkart, you gain access to a vast customer base and India's largest shopping festival, The Big Billion Days, along with other major shopping events. The cost of doing business on Flipkart is also low, providing a lucrative opportunity for sellers."
How does selling on Flipkart.com work?,"Selling on Flipkart.com is a simple process. Create an account with your GSTIN, valid mobile number, email ID, bank account, and address details. List your products on the platform and manage orders. You can choose to pack and ship the products yourself or utilise Flipkart's Fulfilment by Flipkart (FBF) service for hassle-free logistics management. Payments are disbursed within 7* days from the date of product dispatch"
What is the minimum listing quantity to sell on Flipkart.com?,"To start selling on Flipkart.com, you only need a minimum of 1 product to list. However, it is recommended to have more products to leverage the wide customer reach and trust of millions of Flipkart users."
What products can I sell on Flipkart.com?,"Flipkart.com offers a wide range of categories for sellers to choose from, including clothing, electronics, jewellery, home furnishings, books, mobiles, beauty products, kitchenware, and many more. However, some categories may require prior quality approval before going live on the platform."
What do I need to register to sell on Flipkart.com?,"To register and sell products on Flipkart.com, you will need the following details:
Business information
Contact details (email ID and phone number)
Tax registration details, such as GSTIN (mandatory for taxable products) and PAN (mandatory for Book Sellers)"
I don't have a website; can I still sell on Flipkart.com?,"Absolutely! You can sell on Flipkart.com without having a website. Once registered, you will gain access to the Flipkart Seller Hub, where you can list your products and start selling. Please note that Flipkart charges a small fee when your product is sold."
What is FAssured?,"FAssured by Flipkart is a special reliability program that offers additional visibility to your products. It includes extra quality checks and ensures faster delivery within 2-4 days. Having the FAssured tag guarantees more orders, increased visibility, faster delivery, and higher quality standards. By obtaining the FAssured badge, you can achieve better revenue and build trust with customers."
Can I offer both products and services on Flipkart.com?,"Currently, Flipkart allows sellers to offer only physical products for sale on the platform. However, as a third-party service provider, you can offer specific services to Flipkart sellers to assist them in growing their businesses."
Who decides the price of my products?,"As a seller on Flipkart.com, you have full control over the pricing of your products. You can set the price based on your business strategy and the market dynamics. The seller dashboard also provides analysis and recommendations to help you determine the optimal price for your products."
What are the charges for selling on Flipkart.com?,"Flipkart.com does not charge any fees for listing your products on its platform. However, upon a successful sale, there is a small marketplace fee applicable as a percentage of the selling price. You can refer to the Flipkart Seller Fee details for more information."
Will I get charged for listing products on Flipkart.com?,"No, there are no charges for listing your products on Flipkart.com. Listing your products is free of cost."
How and when do I get paid?,"Once your product is picked up and successfully delivered to the customer, you will receive payment within as fast as 7* days. Payments are securely and regularly transferred directly to your registered bank account after deducting the relevant Flipkart fees."
How do I list my products on Flipkart.com?,"To list your products on Flipkart.com, you need to follow these steps:
Obtain brand approval from Flipkart's Brand Regulation Team.
Choose the appropriate category for your product
Provide detailed product information such as size, model, colour, brand, etc.
If you need any assistance or guidance, you can always reach out to the Flipkart Seller Support Team"
How do I manage my orders on Flipkart.com?,"Managing orders on Flipkart.com is convenient with our seller dashboard. You have three options:
Pack and ship the orders yourself using your preferred packaging, marking them as 'ready to dispatch' within the given timeline. Our logistics partner will pick up the orders and deliver them to customers.
Use Fulfilment by Flipkart (FBF) service, where Flipkart handles the packaging and shipping for you."
What do I need to list my products on Flipkart.com?,"To list products on Flipkart.com, you need to provide product details, set competitive prices, include high-quality images, manage your inventory, and provide accurate shipping information."
"Can I get help with catalogue development (product images, descriptions, etc.)?","Yes, Flipkart offers dedicated catalogue services to help sellers enhance their product images and descriptions. You can opt for Premium Catalog Services to ensure maximum visibility and customer trust. Additionally, the IGNITE program provides image editing and product cataloguing services at an affordable price, giving your business a kickstart."
Do you offer protection against fraud?,"Yes, Flipkart.com provides protection against fraud through the Seller Protection Fund (SPF) program. Sellers are eligible for monetary compensation for orders where the returned products have been damaged or missing."
Can customers leave feedback and why is customer feedback important?,"Yes, customers can leave feedback and ratings for the products they purchase. Customer feedback is important as it helps build trust and credibility for the seller. Positive feedback and high ratings enhance the seller's reputation, attracting more customers and increasing sales. It also provides valuable insights for sellers to improve their products and services."
Do I need GST to sell on Flipkart?,"Yes, sellers are required to have GST registration to sell products on Flipkart. For most categories, a regular GSTIN is mandatory. However, for the ""Only Books"" category, PAN (Permanent Account Number) is mandatory."
I am having trouble during registration. Can I get some help?,"If you are facing any issues during the registration process, please provide your details in the form at the end of this section. Our team will promptly assist you with your registration."
What is Fulfilment by Flipkart (FBF)?,"Fulfilment by Flipkart (FBF) is an exclusive program where Flipkart stores, packs, and delivers your products to customers. It also handles customer service and returns. It offers a hassle-free way to manage your inventory and ensure timely delivery and customer satisfaction."
How does FBF work?,"Once you register for FBF, you send your products to Flipkart's Fulfilment Centers. Flipkart stores and manages your inventory. When an order is placed, Flipkart packs and ships the products to the customer. Flipkart also handles returns and provides quality assurance."
Do I need a minimum number of items to avail FBF?,"No, there is no minimum requirement. You can avail FBF for any number of items, ranging from one to multiple items, across various categories."
What are the benefits of FBF?,"By using FBF, you can enjoy the following benefits:
Quality assurance and trusted customer experience
No need to invest in storage infrastructure
No impact on seller service metrics
Faster procurement and delivery for higher customer satisfaction"
What is Shopsy by Flipkart?,Shopsy by Flipkart is a new selling platform that allows sellers to sell products at a low commission. It is among the fastest-growing marketplaces with 200 Mn+ users shopping through the app. The platform allows sellers to extend their reach to a wide network of budget-friendly customers across the country who are looking out for affordable products.
What are the benefits of selling on Shopsy?,"Easy listing - No professional photo shoot required and sellers can upload tabletop and hanger images of their products clicked with mobile phones
Simple fee structure - The fee structure is easy and simple to understand and provides with one of the lowest cost of doing business
Access to Flipkartâ€™s logistics network - Get assured hassle-free pick-up and delivery of products through 900+ pick-up hubs
One of the fastest growing marketplaces in India with over 200 Mn+ users"
